EmployeeNumber,Satisfaction,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,StandardHours,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
507,1,24,Travel_Rarely,Sales,10,4,Marketing,Female,3,2,Sales Executive,4260,1,Yes,3,40.0,1,2,4,5,2,0,3
684,0,45,Travel_Frequently,Sales,26,4,Life Sciences,Female,3,2,Sales Executive,4286,2,No,3,40.0,2,4,3,1,1,0,0
1242,1,42,Travel_Frequently,Research & Development,26,5,Medical,Female,3,3,Research Director,13191,3,Yes,3,40.0,0,6,3,1,0,0,0
608,0,26,Travel_Frequently,Human Resources,17,4,Life Sciences,Female,3,1,Human Resources,2741,0,Yes,3,40.0,1,2,2,7,7,1,0
138,1,34,Travel_Rarely,Research & Development,6,4,Other,Female,3,2,Research Scientist,4809,1,No,3,40.0,0,3,3,16,13,2,10
384,1,26,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,3,2,Manufacturing Director,6397,1,No,4,40.0,1,6,1,6,5,1,4
1221,1,36,Travel_Rarely,Research & Development,6,4,Life Sciences,Male,1,1,Laboratory Technician,2741,1,No,3,40.0,1,4,3,7,7,1,7
593,0,22,Travel_Frequently,Research & Development,4,1,Technical Degree,Male,2,1,Laboratory Technician,3894,5,No,3,40.0,0,3,3,2,2,1,2
1837,1,58,Travel_Frequently,Research & Development,15,4,Life Sciences,Male,3,4,Research Director,15787,2,Yes,3,40.0,0,3,3,2,2,2,2
487,1,46,Non-Travel,Research & Development,7,4,Medical,Female,3,2,Manufacturing Director,5258,2,No,3,40.0,0,2,4,1,0,0,0
1056,1,28,Travel_Rarely,Sales,10,1,Medical,Male,3,1,Sales Representative,1052,1,No,4,40.0,0,5,3,1,0,0,0
1268,1,33,Travel_Rarely,Sales,10,5,Marketing,Male,4,3,Sales Executive,8380,0,Yes,3,40.0,2,3,3,9,8,0,8
253,1,40,Travel_Rarely,Research & Development,4,1,Medical,Female,3,5,Manager,19033,1,No,3,40.0,1,2,3,20,8,9,9
1608,1,44,Travel_Rarely,Research & Development,7,3,Medical,Female,3,5,Research Director,19049,0,Yes,3,40.0,1,4,2,22,7,1,10
786,1,34,Travel_Rarely,Sales,2,3,Other,Male,3,2,Sales Executive,6274,1,No,4,40.0,0,5,3,6,5,1,4
1563,1,38,Travel_Frequently,Human Resources,10,4,Human Resources,Male,3,2,Human Resources,6077,3,No,3,40.0,0,2,3,6,3,1,2
2025,1,36,Travel_Frequently,Research & Development,4,2,Life Sciences,Female,3,2,Manufacturing Director,5131,7,No,3,40.0,3,3,3,4,2,0,2
1751,1,27,Travel_Rarely,Research & Development,8,3,Medical,Female,3,1,Research Scientist,3445,1,No,3,40.0,0,5,2,6,2,1,4
1163,1,34,Travel_Rarely,Sales,9,1,Life Sciences,Female,3,2,Sales Executive,5714,1,No,4,40.0,0,3,2,6,5,1,3
579,1,34,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,2,1,Research Scientist,2768,3,No,3,40.0,1,3,3,7,3,5,7
2019,1,52,Non-Travel,Sales,29,4,Life Sciences,Male,3,1,Sales Representative,3482,2,No,3,40.0,2,3,2,9,8,0,0
1606,1,50,Travel_Frequently,Research & Development,20,5,Medical,Male,3,4,Healthcare Representative,11245,2,Yes,3,40.0,1,3,3,30,8,12,13
1434,1,27,Travel_Rarely,Research & Development,11,1,Life Sciences,Male,3,1,Laboratory Technician,2099,0,No,3,40.0,0,3,4,5,0,1,4
1537,0,31,Travel_Frequently,Research & Development,3,3,Life Sciences,Female,3,1,Research Scientist,4084,1,No,3,40.0,0,2,1,7,2,7,7
1297,1,51,Travel_Frequently,Research & Development,6,2,Medical,Female,2,1,Laboratory Technician,2838,0,No,3,40.0,0,6,2,7,0,7,7
1101,0,33,Travel_Frequently,Research & Development,29,4,Medical,Female,2,2,Research Scientist,4508,1,No,4,40.0,0,4,3,13,7,3,8
154,1,36,Travel_Frequently,Sales,11,2,Technical Degree,Female,3,3,Sales Executive,9738,0,No,3,40.0,1,6,3,9,7,2,8
1881,1,31,Travel_Rarely,Research & Development,20,3,Life Sciences,Male,3,2,Laboratory Technician,4197,1,No,3,40.0,1,2,3,10,8,0,2
1756,1,33,Non-Travel,Sales,2,3,Marketing,Female,3,2,Sales Executive,5147,8,No,3,40.0,0,2,2,11,7,1,7
2035,1,34,Travel_Rarely,Sales,28,3,Marketing,Female,2,2,Sales Executive,6712,1,No,4,40.0,2,2,3,8,7,1,7
1746,1,24,Travel_Frequently,Human Resources,10,3,Medical,Male,3,1,Human Resources,2145,0,No,3,40.0,1,2,3,2,2,2,1
145,1,51,Travel_Frequently,Research & Development,1,4,Medical,Female,2,3,Healthcare Representative,7484,3,No,4,40.0,0,1,2,13,12,12,8
1283,1,59,Travel_Rarely,Research & Development,18,4,Medical,Male,3,3,Manufacturing Director,10512,6,No,3,40.0,0,6,2,9,7,5,4
1259,1,27,Travel_Rarely,Research & Development,4,2,Life Sciences,Male,3,1,Research Scientist,2517,1,No,3,40.0,3,2,3,5,3,0,3
1428,1,30,Travel_Rarely,Sales,7,4,Marketing,Female,3,2,Sales Executive,4779,7,No,3,40.0,2,3,3,3,2,0,2
1487,0,29,Travel_Frequently,Sales,13,3,Technical Degree,Female,3,2,Sales Executive,5765,5,No,3,40.0,0,4,1,5,3,0,0
1994,1,33,Non-Travel,Research & Development,1,2,Medical,Male,2,1,Laboratory Technician,2008,1,No,3,40.0,3,2,2,1,1,0,0
330,1,32,Travel_Rarely,Sales,4,2,Life Sciences,Female,3,1,Sales Representative,3931,2,No,3,40.0,1,5,3,4,3,1,2
1138,1,49,Travel_Rarely,Sales,8,4,Technical Degree,Male,2,4,Sales Executive,13120,6,No,3,40.0,1,3,3,9,8,2,3
656,1,37,Travel_Rarely,Sales,2,3,Marketing,Male,3,2,Sales Executive,9602,4,Yes,3,40.0,1,3,2,3,0,1,0
1179,1,30,Travel_Rarely,Sales,10,3,Marketing,Male,2,2,Sales Executive,6578,1,No,3,40.0,1,3,3,10,3,1,4
744,1,44,Non-Travel,Research & Development,24,3,Medical,Male,1,1,Laboratory Technician,3708,2,No,3,40.0,0,5,3,5,2,1,4
227,1,41,Travel_Rarely,Research & Development,14,3,Life Sciences,Male,3,1,Research Scientist,2451,4,No,3,40.0,1,2,3,9,8,1,8
271,1,38,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,3,2,Manufacturing Director,6553,9,No,3,40.0,0,3,3,1,0,0,0
321,1,59,Travel_Rarely,Human Resources,6,2,Medical,Male,3,1,Human Resources,2267,8,No,3,40.0,0,2,2,2,2,2,2
1395,1,33,Travel_Frequently,Sales,5,1,Life Sciences,Male,3,2,Sales Executive,9998,6,No,3,40.0,0,2,4,5,4,1,2
1956,1,31,Travel_Frequently,Research & Development,1,3,Life Sciences,Male,1,2,Research Scientist,5003,1,No,4,40.0,0,6,3,10,8,8,7
2038,1,32,Travel_Rarely,Research & Development,2,3,Technical Degree,Male,3,1,Research Scientist,2439,1,No,3,40.0,0,4,3,4,2,1,2
1543,1,37,Travel_Rarely,Research & Development,13,3,Medical,Male,3,2,Research Scientist,4285,1,No,3,40.0,0,2,3,10,8,3,7
1932,1,34,Travel_Frequently,Research & Development,22,4,Other,Male,2,2,Research Scientist,5747,1,Yes,3,40.0,0,3,3,15,10,6,11
1128,1,40,Travel_Rarely,Research & Development,14,3,Medical,Male,2,5,Research Director,19626,1,No,3,40.0,0,2,4,20,7,4,9
1799,1,28,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,1,Research Scientist,2044,1,No,3,40.0,1,6,4,5,3,0,3
1243,1,35,Non-Travel,Sales,8,2,Marketing,Female,2,3,Sales Executive,10377,4,Yes,3,40.0,1,6,2,13,2,4,12
1044,1,33,Non-Travel,Sales,8,1,Life Sciences,Female,2,1,Sales Representative,2342,0,No,3,40.0,0,2,2,2,2,2,2
42,0,39,Travel_Rarely,Sales,5,3,Technical Degree,Male,3,2,Sales Representative,2086,3,No,3,40.0,1,6,4,1,0,0,0
2041,1,38,Travel_Rarely,Sales,10,2,Life Sciences,Female,3,2,Sales Executive,5343,1,No,3,40.0,1,1,3,10,7,1,9
578,1,54,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,3,2,Laboratory Technician,3780,7,No,3,40.0,0,3,3,1,0,0,0
497,1,27,Travel_Rarely,Research & Development,1,2,Medical,Male,3,1,Laboratory Technician,3816,1,No,3,40.0,1,2,3,5,2,0,4
336,1,45,Travel_Rarely,Research & Development,1,3,Other,Male,4,5,Manager,19202,0,No,3,40.0,1,2,3,24,0,1,7
974,1,29,Travel_Frequently,Sales,20,3,Technical Degree,Female,3,1,Sales Representative,2157,1,No,3,40.0,1,5,3,3,1,0,2
31,0,34,Travel_Rarely,Research & Development,6,1,Medical,Male,3,1,Research Scientist,2960,2,No,3,40.0,0,2,3,4,2,1,3
1624,0,18,Travel_Frequently,Sales,3,2,Medical,Female,3,1,Sales Representative,1569,1,Yes,3,40.0,0,2,4,0,0,0,0
1459,0,31,Travel_Frequently,Research & Development,1,5,Life Sciences,Female,4,3,Manufacturing Director,7446,1,No,3,40.0,0,2,3,10,8,4,7
94,1,29,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,3,1,Research Scientist,2703,0,No,4,40.0,1,3,3,5,4,0,4
470,1,42,Travel_Rarely,Human Resources,2,1,Technical Degree,Male,3,1,Human Resources,2696,0,Yes,3,40.0,1,5,3,3,2,1,0
85,1,36,Travel_Frequently,Research & Development,11,3,Life Sciences,Male,2,2,Manufacturing Director,6499,1,No,3,40.0,0,3,3,6,5,0,3
369,1,25,Non-Travel,Research & Development,5,2,Life Sciences,Male,4,2,Healthcare Representative,4000,1,No,3,40.0,2,2,3,6,3,1,5
1331,0,31,Travel_Frequently,Sales,1,3,Life Sciences,Female,3,1,Sales Representative,2302,1,Yes,3,40.0,0,2,4,3,2,2,2
1562,0,30,Travel_Rarely,Sales,1,3,Life Sciences,Male,2,2,Sales Executive,9714,1,No,3,40.0,1,4,3,10,8,6,7
851,1,51,Travel_Rarely,Sales,26,4,Marketing,Female,3,4,Manager,16307,2,No,3,40.0,1,2,2,20,6,4,17
1034,1,55,Travel_Frequently,Research & Development,18,4,Medical,Male,3,2,Healthcare Representative,6385,3,Yes,3,40.0,2,3,3,8,7,6,7
1497,1,29,Travel_Rarely,Sales,19,3,Life Sciences,Male,2,2,Sales Executive,8620,1,No,3,40.0,2,3,3,10,7,0,4
1113,0,50,Travel_Frequently,Sales,1,4,Other,Male,3,2,Sales Executive,4728,3,Yes,3,40.0,0,4,3,0,0,0,0
508,1,30,Travel_Rarely,Sales,2,1,Technical Degree,Male,3,1,Sales Representative,2476,1,No,3,40.0,1,3,3,1,0,0,0
638,1,49,Travel_Rarely,Research & Development,18,4,Life Sciences,Male,2,5,Research Director,19502,1,Yes,3,40.0,1,5,3,31,9,0,9
200,1,41,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,3,1,Laboratory Technician,2238,2,No,4,40.0,1,2,3,5,0,1,4
27,0,36,Travel_Rarely,Sales,9,4,Life Sciences,Male,2,1,Sales Representative,3407,7,No,4,40.0,0,4,3,5,3,0,3
1986,1,40,Travel_Rarely,Sales,2,2,Marketing,Female,3,2,Sales Executive,5677,3,No,3,40.0,1,4,3,11,8,5,10
664,1,48,Travel_Rarely,Research & Development,1,4,Life Sciences,Female,2,4,Manager,15402,7,No,3,40.0,1,3,1,3,2,0,2
1504,0,28,Travel_Frequently,Research & Development,2,2,Medical,Male,2,1,Laboratory Technician,2561,7,No,3,40.0,0,2,2,0,0,0,0
1863,1,46,Travel_Rarely,Sales,3,3,Technical Degree,Female,4,4,Sales Executive,13225,2,No,3,40.0,1,5,3,19,17,2,8
1355,1,38,Travel_Rarely,Sales,2,2,Life Sciences,Female,3,2,Sales Executive,6893,3,No,3,40.0,1,3,3,7,7,1,7
1712,1,45,Non-Travel,Research & Development,1,1,Life Sciences,Male,2,3,Healthcare Representative,10748,3,No,4,40.0,1,3,2,23,15,14,4
1193,1,19,Travel_Rarely,Research & Development,9,2,Life Sciences,Male,3,1,Research Scientist,2552,1,No,4,40.0,0,4,3,1,1,0,0
1125,1,38,Travel_Rarely,Sales,2,2,Marketing,Male,3,3,Sales Executive,7351,7,No,3,40.0,0,2,3,1,0,0,0
1798,1,33,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,4,1,Research Scientist,3143,6,No,3,40.0,1,1,3,10,8,7,6
323,1,50,Travel_Rarely,Sales,1,4,Medical,Female,3,5,Manager,19517,3,No,3,40.0,1,3,2,7,0,0,6
1349,1,41,Travel_Frequently,Sales,1,3,Marketing,Female,3,2,Sales Executive,4103,0,No,3,40.0,1,2,3,9,3,1,7
1098,0,44,Travel_Rarely,Human Resources,1,2,Medical,Male,2,3,Human Resources,10482,9,No,3,40.0,1,1,3,20,6,3,6
1312,1,36,Travel_Rarely,Research & Development,10,4,Technical Degree,Female,3,3,Healthcare Representative,7094,3,No,3,40.0,0,0,3,7,7,1,7
2036,1,36,Non-Travel,Sales,15,4,Marketing,Male,1,2,Sales Executive,5406,1,No,4,40.0,1,4,2,15,12,11,11
1071,1,56,Travel_Frequently,Research & Development,9,3,Medical,Female,3,1,Research Scientist,2942,2,No,3,40.0,1,4,3,5,4,0,3
913,1,44,Travel_Rarely,Research & Development,9,2,Life Sciences,Male,3,1,Research Scientist,2559,1,Yes,3,40.0,0,0,3,8,7,7,1
23,1,53,Travel_Rarely,Sales,2,4,Life Sciences,Female,2,4,Manager,15427,2,No,3,40.0,0,3,3,25,8,3,7
1200,0,44,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,3,1,Research Scientist,2936,1,Yes,3,40.0,0,4,3,6,4,0,2
848,0,26,Travel_Frequently,Research & Development,5,2,Medical,Female,2,1,Research Scientist,2366,1,Yes,3,40.0,1,2,3,8,7,1,7
2023,0,23,Travel_Frequently,Sales,9,3,Marketing,Male,3,1,Sales Representative,1790,1,No,3,40.0,1,3,2,1,0,1,0
2034,1,41,Travel_Rarely,Research & Development,28,4,Life Sciences,Female,2,4,Manufacturing Director,13570,0,No,4,40.0,1,3,3,20,7,0,10
1586,1,29,Travel_Rarely,Research & Development,3,1,Medical,Male,3,1,Laboratory Technician,4723,1,Yes,3,40.0,0,3,3,10,9,1,5
1478,1,34,Travel_Rarely,Sales,3,3,Other,Male,1,2,Sales Executive,4759,3,No,3,40.0,0,2,3,13,9,3,12
343,1,39,Travel_Frequently,Research & Development,2,4,Technical Degree,Female,3,3,Healthcare Representative,10938,0,No,4,40.0,0,1,3,19,6,11,8
1940,1,38,Travel_Rarely,Research & Development,9,2,Life Sciences,Male,3,1,Research Scientist,4771,2,No,3,40.0,2,0,4,5,2,0,3
169,1,22,Travel_Rarely,Research & Development,2,1,Technical Degree,Male,3,1,Laboratory Technician,2523,0,No,3,40.0,1,2,3,2,1,2,1
1173,1,24,Travel_Rarely,Research & Development,24,3,Medical,Male,3,1,Laboratory Technician,3597,8,No,4,40.0,0,2,3,4,3,1,2
46,1,43,Travel_Rarely,Research & Development,2,2,Medical,Female,4,1,Research Scientist,2645,1,No,3,40.0,2,3,2,5,3,1,4
1802,1,40,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,3,1,Laboratory Technician,3377,4,No,3,40.0,1,5,2,4,3,0,2
587,0,31,Travel_Frequently,Research & Development,20,3,Life Sciences,Male,3,3,Healthcare Representative,9824,3,No,3,40.0,0,2,3,1,0,0,0
118,0,46,Travel_Rarely,Sales,9,2,Medical,Male,2,3,Sales Executive,9619,1,No,3,40.0,0,3,3,9,8,4,7
982,1,30,Travel_Rarely,Sales,8,2,Other,Male,3,3,Sales Executive,7264,5,No,3,40.0,1,2,4,8,4,7,7
758,1,23,Travel_Rarely,Research & Development,9,1,Medical,Male,3,1,Laboratory Technician,2500,1,No,3,40.0,1,2,4,4,3,0,2
2010,1,32,Travel_Rarely,Research & Development,29,4,Life Sciences,Female,2,1,Laboratory Technician,2837,1,No,3,40.0,0,3,3,6,2,4,1
1001,1,27,Travel_Rarely,Research & Development,16,4,Technical Degree,Female,3,1,Laboratory Technician,2811,9,No,3,40.0,1,2,3,2,2,2,2
816,0,29,Travel_Rarely,Research & Development,1,2,Life Sciences,Female,2,1,Laboratory Technician,2319,1,Yes,3,40.0,1,1,3,1,0,0,0
329,1,52,Non-Travel,Sales,2,4,Life Sciences,Male,2,5,Manager,19068,1,Yes,3,40.0,0,2,4,33,7,15,12
864,1,45,Travel_Rarely,Sales,9,3,Marketing,Male,3,3,Sales Executive,10761,4,Yes,3,40.0,1,2,3,5,4,0,2
1111,0,28,Travel_Frequently,Research & Development,1,3,Medical,Male,2,1,Laboratory Technician,2596,1,No,3,40.0,2,2,3,1,0,0,0
1595,1,42,Travel_Rarely,Research & Development,9,2,Other,Male,2,5,Manager,19613,8,No,4,40.0,0,2,3,1,0,0,1
425,1,45,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,3,3,Laboratory Technician,5210,1,No,3,40.0,1,2,3,24,9,9,11
661,1,43,Travel_Rarely,Research & Development,6,4,Other,Male,2,4,Research Director,16627,4,Yes,3,40.0,1,3,2,1,0,0,0
530,1,31,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,2,1,Laboratory Technician,2218,1,No,3,40.0,1,3,3,4,2,3,2
1794,1,37,Travel_Rarely,Human Resources,8,2,Other,Male,3,2,Human Resources,4071,2,No,3,40.0,0,4,2,10,0,4,7
1857,1,46,Travel_Rarely,Research & Development,2,2,Life Sciences,Male,3,3,Manufacturing Director,8578,3,No,3,40.0,1,4,2,9,8,4,7
1997,1,38,Travel_Frequently,Research & Development,6,4,Life Sciences,Male,2,2,Manufacturing Director,5321,2,No,3,40.0,1,1,3,8,3,7,7
1813,1,43,Non-Travel,Research & Development,9,3,Life Sciences,Male,3,1,Research Scientist,2438,4,No,3,40.0,0,2,2,3,2,1,2
1980,1,54,Travel_Rarely,Research & Development,10,3,Medical,Female,3,2,Manufacturing Director,4440,6,Yes,3,40.0,0,3,3,5,2,1,4
1492,1,35,Travel_Rarely,Sales,7,1,Life Sciences,Male,3,1,Sales Representative,2404,1,No,3,40.0,1,3,3,1,0,0,0
1633,1,39,Travel_Frequently,Research & Development,4,3,Medical,Female,3,2,Manufacturing Director,5042,0,No,3,40.0,0,2,1,9,2,3,8
845,1,35,Travel_Rarely,Research & Development,7,3,Other,Male,3,3,Manufacturing Director,10221,3,No,4,40.0,0,3,4,8,5,1,6
749,1,29,Travel_Rarely,Sales,10,3,Life Sciences,Male,3,1,Sales Representative,2642,1,No,3,40.0,0,6,3,1,0,0,0
1842,0,31,Travel_Rarely,Human Resources,18,5,Human Resources,Male,4,1,Human Resources,2956,0,No,3,40.0,0,4,3,1,0,0,0
39,1,33,Travel_Rarely,Research & Development,2,3,Medical,Male,3,1,Laboratory Technician,2496,4,No,3,40.0,0,3,3,1,1,0,0
1752,0,29,Travel_Rarely,Sales,9,3,Marketing,Female,1,1,Sales Representative,2760,1,No,3,40.0,0,3,3,2,2,2,2
592,1,36,Non-Travel,Sales,10,4,Medical,Male,3,3,Sales Executive,9980,1,No,3,40.0,0,3,2,10,3,9,7
631,0,32,Non-Travel,Sales,11,4,Other,Male,4,2,Sales Executive,4707,8,No,3,40.0,0,2,3,4,2,1,2
486,1,37,Travel_Rarely,Research & Development,10,3,Medical,Female,3,1,Laboratory Technician,3452,6,No,4,40.0,1,3,3,5,4,0,3
444,1,39,Travel_Frequently,Research & Development,7,2,Medical,Male,2,5,Manager,19272,1,No,3,40.0,1,2,3,21,9,13,3
76,1,31,Travel_Rarely,Research & Development,7,4,Life Sciences,Male,3,2,Laboratory Technician,5915,3,No,4,40.0,1,3,2,7,7,1,7
1693,1,26,Non-Travel,Research & Development,7,3,Medical,Male,3,1,Laboratory Technician,2570,1,No,4,40.0,0,5,3,7,7,5,7
604,1,31,Travel_Rarely,Sales,2,1,Life Sciences,Male,3,2,Sales Executive,6582,4,Yes,3,40.0,0,2,4,6,5,0,5
1249,1,29,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,3,1,Research Scientist,3760,1,No,3,40.0,3,5,3,3,2,1,2
1369,1,35,Travel_Rarely,Research & Development,1,3,Medical,Female,2,2,Laboratory Technician,5363,0,No,3,40.0,1,0,3,9,7,0,0
1202,1,29,Travel_Rarely,Research & Development,15,1,Life Sciences,Female,1,1,Research Scientist,2168,0,Yes,3,40.0,1,2,2,5,4,1,3
1768,1,42,Travel_Rarely,Research & Development,12,3,Medical,Male,3,1,Laboratory Technician,2766,8,No,4,40.0,3,6,2,5,3,0,4
241,1,56,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,3,1,Research Scientist,4257,4,Yes,3,40.0,1,3,3,2,2,2,2
1703,1,44,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,4,3,Healthcare Representative,7879,1,Yes,3,40.0,1,2,3,8,7,6,7
445,0,39,Travel_Rarely,Sales,3,2,Medical,Female,3,2,Sales Executive,5238,4,Yes,3,40.0,0,3,2,1,0,0,0
1814,1,41,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,2,Healthcare Representative,6870,3,No,3,40.0,0,3,1,3,2,1,2
355,0,31,Travel_Frequently,Research & Development,29,2,Medical,Male,2,1,Laboratory Technician,3479,0,No,3,40.0,0,2,4,5,4,1,4
2048,1,40,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,2,1,Research Scientist,2809,2,No,3,40.0,0,2,3,2,2,2,2
1847,1,36,Travel_Rarely,Research & Development,2,4,Other,Female,3,2,Research Scientist,6962,4,Yes,4,40.0,1,2,3,1,0,0,0
190,0,32,Travel_Rarely,Research & Development,9,3,Medical,Female,3,1,Laboratory Technician,4200,7,No,4,40.0,0,2,4,5,4,0,4
1592,1,23,Travel_Rarely,Research & Development,10,3,Technical Degree,Male,4,1,Research Scientist,2073,2,No,3,40.0,1,2,3,2,2,2,2
862,1,53,Travel_Rarely,Sales,7,2,Marketing,Female,2,3,Sales Executive,10934,7,Yes,3,40.0,1,3,3,5,2,0,4
184,1,30,Travel_Rarely,Human Resources,9,3,Human Resources,Male,3,2,Human Resources,6347,0,Yes,3,40.0,0,2,1,11,9,4,7
1844,0,29,Travel_Rarely,Human Resources,13,3,Human Resources,Male,2,1,Human Resources,2335,4,Yes,3,40.0,3,3,3,2,2,2,0
